# Name                                                Directed    Weighted    Bipartite    Selfloops    Multiedges    nbVertices    nbEdges    binDensity    matDensity    averageDegree                                                      Tags                                                                                          url    rank    thrank    shrank    erank    elbow    energy    srank    nrank                                                                                                                   Name\href
ambassador_1995_1999                                undirected    weighted   unipartite  noselfloops  nomultiedges            16         49   0.408333      0.382812                 6.1                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      15         3         3     10.1        1         5      1.6      3.4       \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_1995_1999}
ambassador_2000                                     undirected    weighted   unipartite  noselfloops  nomultiedges            16         69   0.575         0.539062                 8.6                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      15         1         1      9.9        1         5      1.4      3.1            \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_2000}
ambassador_2001                                     undirected    weighted   unipartite  noselfloops  nomultiedges            16         69   0.575         0.539062                 8.6                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      15         1         1      9.9        1         5      1.4      3.1            \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_2001}
ambassador_2002                                     undirected    weighted   unipartite  noselfloops  nomultiedges            16         50   0.416667      0.390625                 6.2                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      14         1         2      9          1         5      1.4      2.9            \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_2002}
ambassador_OPERATION_ID                             undirected    weighted   unipartite  noselfloops  nomultiedges            16         69   0.575         0.539062                 8.6                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      15         1         1      9.9        1         5      1.4      3.1    \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_OPERATION_ID}
ambassador_TIE_EXTINGUISH                           undirected    weighted   unipartite  noselfloops  nomultiedges            16         69   0.575         0.539062                 8.6                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      15         1         1      9.9        1         5      1.4      3.1  \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_TIE_EXTINGUISH}
ambassador_TIE_YEAR                                 undirected    weighted   unipartite  noselfloops  nomultiedges            16         69   0.575         0.539062                 8.6                                   Social,Offline,Temporal     https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing      15         1         1      9.9        1         5      1.4      3.1        \href{https://sites.google.com/site/ucinetsoftware/datasets/covert-networks/philippinesbombing}{ambassador_TIE_YEAR}
anybeat                                               directed  unweighted   unipartite  noselfloops  nomultiedges         12645      67053   0.000419387   0.000419354              5.3                                             Social,Online                                                       https://homes.cs.washington.edu/~fire/    4152       583       711   2487.6      184       788      9.4    111.1                                                                      \href{https://homes.cs.washington.edu/~fire/}{anybeat}
arxiv_collab_astro-ph-1999                          undirected    weighted   unipartite  noselfloops  nomultiedges         16706     121251   0.000868953   0.000868901             14.5                           Social,Collaboration,Projection                                                 http://www-personal.umich.edu/~mejn/netdata/   15668      3643      4097   7040.2     1120      2315     73.4    558.9                                             \href{http://www-personal.umich.edu/~mejn/netdata/}{arxiv_collab_astro-ph-1999}
arxiv_collab_cond-mat-1999                          undirected    weighted   unipartite  noselfloops  nomultiedges         16726      47594   0.00034027    0.00034025               5.7                           Social,Collaboration,Projection                                                 http://www-personal.umich.edu/~mejn/netdata/   15523      3370      3791   7801.7     1537      2649    156.7    872.5                                             \href{http://www-personal.umich.edu/~mejn/netdata/}{arxiv_collab_cond-mat-1999}
arxiv_collab_hep-th-1999                            undirected    weighted   unipartite  noselfloops  nomultiedges          8361      15751   0.000450686   0.000450632              3.8                           Social,Collaboration,Projection                                                 http://www-personal.umich.edu/~mejn/netdata/    7101      1507      1722   3926.6      485      1539     44.7    340.9                                               \href{http://www-personal.umich.edu/~mejn/netdata/}{arxiv_collab_hep-th-1999}
baseball_player-player                              undirected    weighted   unipartite    selfloops  nomultiedges            72       1089   0.414384      0.40625                 30.2                                 Social,Offline,Projection                                                              http://orgnet.com/steroids.html      72         7         8     28.3        4         2      1.1      3.2                                                              \href{http://orgnet.com/steroids.html}{baseball_player-player}
baseball_user-provider                              undirected    weighted    bipartite  noselfloops  nomultiedges            84         84   0.0240964     0.0238095                2                                   Social,Offline,Projection                                                              http://orgnet.com/steroids.html      24         2         2     19.3        8        12      3.8      7.7                                                              \href{http://orgnet.com/steroids.html}{baseball_user-provider}
bible_nouns                                         undirected    weighted   unipartite  noselfloops  nomultiedges          1773       9131   0.00581267    0.00580939              10.3                                    Informational,Language                                                       http://konect.cc/networks/moreno_names    1757       351       404    636         59        68      2.7     23                                                                    \href{http://konect.cc/networks/moreno_names}{bible_nouns}
bison                                                 directed    weighted   unipartite  noselfloops  nomultiedges            26        314   0.483077      0.464497                12.1                                             Social,Animal                                                       http://konect.cc/networks/moreno_bison      26         4         4     15.3        5         7      1.8      4.3                                                                        \href{http://konect.cc/networks/moreno_bison}{bison}
bitcoin_alpha                                         directed    weighted   unipartite  noselfloops  nomultiedges          3783      24186   0.00169046    0.00169002               6.4                           Social,Online,Signed,Timestamps                                     http://snap.stanford.edu/data/soc-sign-bitcoinalpha.html    1982       304       374   1278.2      152       538     13.5    107.2                                              \href{http://snap.stanford.edu/data/soc-sign-bitcoinalpha.html}{bitcoin_alpha}
bitcoin_trust                                         directed    weighted   unipartite  noselfloops  nomultiedges          5881      35592   0.00102926    0.00102908               6.1                           Social,Online,Signed,Timestamps                                       http://snap.stanford.edu/data/soc-sign-bitcoinotc.html    2785       411       504   1778.2      197       721     15.8    134.9                                                \href{http://snap.stanford.edu/data/soc-sign-bitcoinotc.html}{bitcoin_trust}
blumenau_drug                                       undirected    weighted   unipartite  noselfloops  nomultiedges            75        181   0.0652252     0.0643556                4.8                               Biological,Druginteractions                                        https://github.com/rionbr/DDIBlumenau/tree/master/csv      56        13        15     34.6       17        17      5.9     12.7                                                 \href{https://github.com/rionbr/DDIBlumenau/tree/master/csv}{blumenau_drug}
board_directors_net1m_2002-05-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1013       3189   0.00622149    0.00621535               6.3                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1012       144       155    733.6       84       374     10.1     69.7                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2002-05-01}
board_directors_net1m_2002-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1076       3344   0.00578197    0.00577659               6.2                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1076       150       163    781.3      185       406     23.1    110.3                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2002-12-01}
board_directors_net1m_2003-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1098       3488   0.00579159    0.00578631               6.4                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1098       153       164    792.8      187       400     21.3    105.9                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2003-01-01}
board_directors_net1m_2003-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1142       3599   0.00552408    0.00551924               6.3                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1142       156       172    826.5      190       418     22.1    109.8                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2003-12-01}
board_directors_net1m_2004-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1145       3604   0.00550279    0.00549799               6.3                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1145       157       173    829.4      191       419     22.1    110.2                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2004-01-01}
board_directors_net1m_2004-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1194       3767   0.00528909    0.00528466               6.3                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1194       164       182    866.5      144       434     22.9    114.9                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2004-12-01}
board_directors_net1m_2005-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1198       3794   0.00529147    0.00528705               6.3                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1198       167       185    870.1      144       434     23.1    115.7                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2005-01-01}
board_directors_net1m_2005-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1310       3806   0.00443903    0.00443564               5.8                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1310       184       202    972.4      226       544     23.3    125.6                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2005-12-01}
board_directors_net1m_2006-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1316       3812   0.00440556    0.00440221               5.8                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1316       186       202    977.3      227       547     23.4    126                                              \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2006-01-01}
board_directors_net1m_2006-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1471       4278   0.00395677    0.00395408               5.8                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1469       219       248   1094.7      273       608     40.8    177.5                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2006-12-01}
board_directors_net1m_2007-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1499       4360   0.00388332    0.00388073               5.8                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1497       226       253   1114.4      281       619     41.6    180.7                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2007-01-01}
board_directors_net1m_2007-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1521       4371   0.00378127    0.00377879               5.7                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1517       230       260   1143.4      202       630     38      176.4                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2007-12-01}
board_directors_net1m_2008-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1518       4324   0.00375542    0.00375294               5.7                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1513       231       264   1145.5      309       638     43.7    190.3                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2008-01-01}
board_directors_net1m_2008-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1519       4160   0.00360823    0.00360585               5.5                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1515       238       268   1159.9      316       673     68.1    242.2                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2008-12-01}
board_directors_net1m_2009-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1526       4162   0.00357691    0.00357456               5.5                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1523       235       265   1166.3      313       680     68.2    242.8                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2009-01-01}
board_directors_net1m_2009-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1483       4065   0.00369914    0.00369665               5.5                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1480       220       249   1131.8      252       656     34.9    169.9                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2009-12-01}
board_directors_net1m_2010-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1473       4050   0.00373572    0.00373319               5.5                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1470       220       249   1123.7      254       649     34.6    168.6                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2010-01-01}
board_directors_net1m_2010-12-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1444       3902   0.00374528    0.00374268               5.4                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1442       223       248   1106.4      288       649     59.9    221.6                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2010-12-01}
board_directors_net1m_2011-01-01                    undirected  unweighted   unipartite  noselfloops  nomultiedges          1442       3927   0.00377974    0.00377712               5.4                    Social,Affiliation,Projection,Temporal                                                      http://www.boardsandgender.com/data.php    1440       224       249   1103.3      289       642     60.3    221.7                                            \href{http://www.boardsandgender.com/data.php}{board_directors_net1m_2011-01-01}
budapest_connectome_all_1m                          undirected    weighted   unipartite    selfloops  nomultiedges          1015     121755   0.236133      0.235388               239.9                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       191       232    422.5       28        73      3.1     21.1                                                          \href{http://pitgroup.org/connectome/}{budapest_connectome_all_1m}
budapest_connectome_all_200k                        undirected    weighted   unipartite    selfloops  nomultiedges          1015     105293   0.204207      0.203436               207.5                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       170       214    493.7       36       140      3.6     27.1                                                        \href{http://pitgroup.org/connectome/}{budapest_connectome_all_200k}
budapest_connectome_all_20k                         undirected    weighted   unipartite    selfloops  nomultiedges          1015      71604   0.13887       0.138084               141.1                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       139       185    577.6       40       225      5.3     40                                                           \href{http://pitgroup.org/connectome/}{budapest_connectome_all_20k}
budapest_connectome_female_1m                       undirected    weighted   unipartite    selfloops  nomultiedges          1015     112890   0.21894       0.218184               222.4                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       190       231    430.8       31        83      3.1     21.8                                                       \href{http://pitgroup.org/connectome/}{budapest_connectome_female_1m}
budapest_connectome_female_200k                     undirected    weighted   unipartite    selfloops  nomultiedges          1015      96857   0.187846      0.18707                190.9                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       168       210    494.1       34       142      3.7     27.7                                                     \href{http://pitgroup.org/connectome/}{budapest_connectome_female_200k}
budapest_connectome_female_20k                      undirected    weighted   unipartite    selfloops  nomultiedges          1015      63448   0.123052      0.122303               125                                       Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       148       193    574.5       46       225      5.6     41.4                                                      \href{http://pitgroup.org/connectome/}{budapest_connectome_female_20k}
budapest_connectome_male_1m                         undirected    weighted   unipartite    selfloops  nomultiedges          1015      93708   0.181738      0.180944               184.6                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       215       250    395.5       26        66      3.1     20.7                                                         \href{http://pitgroup.org/connectome/}{budapest_connectome_male_1m}
budapest_connectome_male_200k                       undirected    weighted   unipartite    selfloops  nomultiedges          1015      80270   0.155677      0.154867               158.2                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       201       240    461.4       29       119      3.6     26.2                                                       \href{http://pitgroup.org/connectome/}{budapest_connectome_male_200k}
budapest_connectome_male_20k                        undirected    weighted   unipartite    selfloops  nomultiedges          1015      54480   0.105659      0.104896               107.4                                     Biological,Connectome                                                              http://pitgroup.org/connectome/    1015       139       186    566.6       45       215      5.7     41                                                          \href{http://pitgroup.org/connectome/}{budapest_connectome_male_20k}
caida_as_20040105                                     directed  unweighted   unipartite  noselfloops  nomultiedges         16301      65910   0.000248056   0.000248041              4                        Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4679       521       671   3096.8      208      1169     16.8    169.2                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040105}
caida_as_20040202                                     directed  unweighted   unipartite  noselfloops  nomultiedges         16493      66744   0.00024538    0.000245365              4                        Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4669       521       665   3094.6      197      1180     17      170.1                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040202}
caida_as_20040301                                     directed  unweighted   unipartite  noselfloops  nomultiedges         16655      66680   0.000240399   0.000240384              4                        Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4771       543       676   3173.6      223      1216     17.1    173.4                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040301}
caida_as_20040405                                     directed  unweighted   unipartite  noselfloops  nomultiedges         16874      68670   0.000241189   0.000241174              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4829       556       690   3204.6      207      1220     17      173.1                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040405}
caida_as_20040503                                     directed  unweighted   unipartite  noselfloops  nomultiedges         17160      70026   0.000237821   0.000237807              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4904       569       721   3256.1      244      1240     17.3    177                                                         \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040503}
caida_as_20040607                                     directed  unweighted   unipartite  noselfloops  nomultiedges         17306      71094   0.000237391   0.000237377              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4924       580       717   3255.4      268      1230     17.4    177.1                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040607}
caida_as_20040705                                     directed  unweighted   unipartite  noselfloops  nomultiedges         17509      71658   0.000233758   0.000233745              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    4991       584       736   3303.2      250      1248     17.7    179.9                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040705}
caida_as_20040802                                     directed  unweighted   unipartite  noselfloops  nomultiedges         17655      72140   0.000231454   0.000231441              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5056       592       737   3348.7      257      1271     18.1    183.4                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040802}
caida_as_20040906                                     directed  unweighted   unipartite  noselfloops  nomultiedges         17848      74344   0.000233395   0.000233382              4.2                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5084       594       747   3352.3      256      1255     17.6    180.3                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20040906}
caida_as_20041004                                     directed  unweighted   unipartite  noselfloops  nomultiedges         18100      74994   0.000228925   0.000228912              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5213       594       752   3434.2      241      1282     17.7    182.7                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20041004}
caida_as_20041101                                     directed  unweighted   unipartite  noselfloops  nomultiedges         18278      75118   0.000224859   0.000224847              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5190       596       761   3436.6      228      1302     17.8    183.4                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20041101}
caida_as_20041206                                     directed  unweighted   unipartite  noselfloops  nomultiedges         18501      76530   0.000223596   0.000223584              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5234       608       772   3447.2      239      1287     18      184.7                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20041206}
caida_as_20050103                                     directed  unweighted   unipartite  noselfloops  nomultiedges         18740      77002   0.000219273   0.000219262              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5312       620       787   3519.4      263      1329     18.4    189.2                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050103}
caida_as_20050207                                     directed  unweighted   unipartite  noselfloops  nomultiedges         18911      75982   0.000212473   0.000212462              4                        Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5323       619       785   3539.1      242      1351     18.6    191.2                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050207}
caida_as_20050307                                     directed  unweighted   unipartite  noselfloops  nomultiedges         19090      77124   0.000211641   0.00021163               4                        Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5334       623       784   3547.1      272      1349     18.4    190                                                         \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050307}
caida_as_20050404                                     directed  unweighted   unipartite  noselfloops  nomultiedges         19267      77860   0.000209753   0.000209742              4                        Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5415       638       799   3589.6      224      1356     18.6    192                                                         \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050404}
caida_as_20050502                                     directed  unweighted   unipartite  noselfloops  nomultiedges         19489      79718   0.000209894   0.000209883              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5516       649       818   3652.6      277      1376     18.5    192.8                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050502}
caida_as_20050606                                     directed  unweighted   unipartite  noselfloops  nomultiedges         19720      80396   0.000206749   0.000206738              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5542       632       800   3668.5      278      1387     18.5    193.6                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050606}
caida_as_20050704                                     directed  unweighted   unipartite  noselfloops  nomultiedges         19846      80970   0.000205589   0.000205579              4.1                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    5538       638       802   3663.3      262      1382     18.4    192.7                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20050704}
caida_as_20070917                                     directed  unweighted   unipartite  noselfloops  nomultiedges          8020      36406   0.000566081   0.00056601               4.5                      Technological,Communication,Temporal                                                  http://snap.stanford.edu/data/as-caida.html    2595       255       323   1605.8      129       494     11.4     95.9                                                       \href{http://snap.stanford.edu/data/as-caida.html}{caida_as_20070917}
cattle                                                directed    weighted   unipartite  noselfloops  nomultiedges            28        217   0.287037      0.276786                 7.8                                             Social,Animal                                                      http://konect.cc/networks/moreno_cattle      25         5         6     14.3        6         7      2.2      4.8                                                                      \href{http://konect.cc/networks/moreno_cattle}{cattle}
celegans_2019_hermaphrodite_chemical                  directed    weighted   unipartite    selfloops  nomultiedges           453       4879   0.0237758     0.0237758               10.8                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     300        56        69    173.1       47        69     10.6     35.1                                    \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_hermaphrodite_chemical}
celegans_2019_hermaphrodite_chemical_corrected        directed    weighted   unipartite    selfloops  nomultiedges           454       4879   0.0236711     0.0236711               10.7                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     300        56        69    173.1       47        69     10.6     35.1                          \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_hermaphrodite_chemical_corrected}
celegans_2019_hermaphrodite_chemical_synapse          directed    weighted   unipartite    selfloops  nomultiedges           468       3701   0.0168977     0.0168977                7.9                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     271        52        61    158.7       33        71      9.8     33.1                            \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_hermaphrodite_chemical_synapse}
celegans_2019_hermaphrodite_gap_junction            undirected    weighted   unipartite    selfloops    multiedges           468       1447   0.0131577     0.0131173                6.2                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     460       100       117    119.4       19         4      2.9      9.7                                \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_hermaphrodite_gap_junction}
celegans_2019_hermaphrodite_gap_junction_corrected  undirected    weighted   unipartite    selfloops  nomultiedges           469       1450   0.0131561     0.0131069                6.2                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     460        98       116    106.6       19         4      2.7      8.7                      \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_hermaphrodite_gap_junction_corrected}
celegans_2019_hermaphrodite_gap_junction_synapse    undirected    weighted   unipartite    selfloops    multiedges           466       2056   0.00951191    0.00946785               8.8                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     303        51        61    159.2       28        58      5.9     23.8                        \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_hermaphrodite_gap_junction_synapse}
celegans_2019_male_chemical                           directed    weighted   unipartite    selfloops  nomultiedges           575       5306   0.0160484     0.0160484                9.2                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     375        83        95    197.3       48        77      9.9     35.7                                             \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_male_chemical}
celegans_2019_male_chemical_corrected                 directed    weighted   unipartite    selfloops  nomultiedges           575       5306   0.0160484     0.0160484                9.2                                     Biological,Connectome                                                  https://wormwiring.org/pages/adjacency.html     375        83        95    197.3       48        77      9.9     35.7                                   \href{https://wormwiring.org/pages/adjacency.html}{celegans_2019_male_chemical_corrected}
