# name                                                 (un)dir    (un)weighted    uni/bi-partite    selfloops    multiedges    nbVertices           nbEdges        density    bindensity    matdensity    averageDegree                                                      tags             weightTag                                                                                          url
bison                                                 directed        weighted        unipartite  noselfloops  nomultiedges            26     314              0.483077      0.483077      0.464497           12.0769                                               Social,Animal                weight                                                       http://konect.cc/networks/moreno_bison
bitcoin_alpha                                         directed        weighted        unipartite  noselfloops  nomultiedges          3783   24186              0.00169046    0.00169046    0.00169002          6.39334                            Social,Online,Signed,Timestamps                  None                                     http://snap.stanford.edu/data/soc-sign-bitcoinalpha.html
bitcoin_trust                                         directed        weighted        unipartite  noselfloops  nomultiedges          5881   35592              0.00102926    0.00102926    0.00102908          6.05203                            Social,Online,Signed,Timestamps                  None                                       http://snap.stanford.edu/data/soc-sign-bitcoinotc.html
blumenau_drug                                       undirected        weighted        unipartite  noselfloops  nomultiedges            75     181              0.0652252     0.0652252     0.0643556           4.82667                                Biological,Druginteractions                weight                                        https://github.com/rionbr/DDIBlumenau/tree/master/csv
board_directors_net1m_2002-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1013    3189              0.00622149    0.00622149    0.00621535          6.29615                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1021    3235              0.00621267    0.00621267    0.00620659          6.33692                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1030    3255              0.00614226    0.00614226    0.0061363           6.32039                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1029    3232              0.00611073    0.00611073    0.00610479          6.28183                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1035    3303              0.00617274    0.00617274    0.00616677          6.38261                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1051    3325              0.00602601    0.00602601    0.00602027          6.32731                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1052    3194              0.00577759    0.00577759    0.00577209          6.07224                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2002-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1076    3344              0.00578197    0.00578197    0.00577659          6.21561                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1098    3488              0.00579159    0.00579159    0.00578631          6.35337                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1090    3418              0.00575901    0.00575901    0.00575372          6.27156                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1084    3391              0.00577697    0.00577697    0.00577164          6.25646                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1088    3399              0.00574808    0.00574808    0.0057428           6.24816                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1095    3416              0.00570317    0.00570317    0.00569796          6.23927                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1097    3453              0.00574393    0.00574393    0.0057387           6.29535                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1109    3587              0.00583835    0.00583835    0.00583308          6.46889                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1102    3516              0.00579575    0.00579575    0.00579049          6.38113                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1099    3429              0.00568326    0.00568326    0.00567809          6.24022                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1113    3471              0.00560899    0.00560899    0.00560395          6.2372                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1132    3592              0.00561122    0.00561122    0.00560626          6.34629                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2003-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1142    3599              0.00552408    0.00552408    0.00551924          6.30298                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1145    3604              0.00550279    0.00550279    0.00549799          6.2952                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1148    3616              0.00549229    0.00549229    0.0054875           6.29965                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1160    3645              0.00542233    0.00542233    0.00541766          6.28448                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1160    3606              0.00536432    0.00536432    0.00535969          6.21724                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1163    3607              0.00533814    0.00533814    0.00533355          6.20292                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1171    3648              0.00532528    0.00532528    0.00532073          6.23057                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1179    3690              0.0053137     0.0053137     0.0053092           6.25954                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1173    3678              0.00535077    0.00535077    0.00534621          6.2711                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1180    3670              0.00527594    0.00527594    0.00527147          6.22034                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1183    3671              0.00525064    0.00525064    0.0052462           6.20626                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1187    3698              0.00525365    0.00525365    0.00524923          6.23083                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2004-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1194    3767              0.00528909    0.00528909    0.00528466          6.30988                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1198    3794              0.00529147    0.00529147    0.00528705          6.33389                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1191    3692              0.00520994    0.00520994    0.00520557          6.19983                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1207    3715              0.00510428    0.00510428    0.00510005          6.15576                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1219    3728              0.00502175    0.00502175    0.00501763          6.11649                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1212    3581              0.00487964    0.00487964    0.00487561          5.90924                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1219    3578              0.00481969    0.00481969    0.00481574          5.87039                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1256    3728              0.00473012    0.00473012    0.00472636          5.93631                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1259    3713              0.00468866    0.00468866    0.00468493          5.89833                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1266    3696              0.0046157     0.0046157     0.00461206          5.83886                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1298    3818              0.00453577    0.00453577    0.00453228          5.8829                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1312    3833              0.00445689    0.00445689    0.0044535           5.84299                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2005-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1310    3806              0.00443903    0.00443903    0.00443564          5.81069                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1316    3812              0.00440556    0.00440556    0.00440221          5.79331                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1323    3808              0.00435447    0.00435447    0.00435118          5.75661                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1341    3881              0.00431957    0.00431957    0.00431634          5.78822                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1363    3931              0.00423506    0.00423506    0.00423196          5.76816                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1371    3945              0.00420067    0.00420067    0.00419761          5.75492                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1378    3899              0.0041096     0.0041096     0.00410662          5.65893                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1397    3909              0.00400879    0.00400879    0.00400593          5.59628                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1414    4027              0.00403107    0.00403107    0.00402822          5.6959                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1421    4049              0.00401324    0.00401324    0.00401042          5.6988                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1447    4221              0.00403467    0.00403467    0.00403189          5.83414                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1468    4312              0.00400454    0.00400454    0.00400181          5.87466                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2006-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1471    4278              0.00395677    0.00395677    0.00395408          5.81645                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1499    4360              0.00388332    0.00388332    0.00388073          5.81721                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1503    4372              0.0038733     0.0038733     0.00387072          5.8177                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1513    4398              0.00384498    0.00384498    0.00384244          5.81362                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1535    4433              0.00376525    0.00376525    0.0037628           5.7759                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1546    4441              0.00371854    0.00371854    0.00371614          5.74515                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1544    4429              0.00371811    0.00371811    0.0037157           5.73705                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1536    4413              0.00374338    0.00374338    0.00374095          5.74609                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1534    4416              0.00375571    0.00375571    0.00375326          5.7575                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1528    4376              0.00375098    0.00375098    0.00374853          5.72775                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1526    4391              0.00377371    0.00377371    0.00377124          5.75491                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1522    4296              0.00371151    0.00371151    0.00370907          5.6452                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2007-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1521    4371              0.00378127    0.00378127    0.00377879          5.74753                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1518    4324              0.00375542    0.00375542    0.00375294          5.69697                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1527    4404              0.00377993    0.00377993    0.00377745          5.76817                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1525    4336              0.00373134    0.00373134    0.00372889          5.68656                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1535    4344              0.00368966    0.00368966    0.00368725          5.65993                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1541    4358              0.00367277    0.00367277    0.00367039          5.65607                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1554    4414              0.00365797    0.00365797    0.00365561          5.68082                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1546    4328              0.00362393    0.00362393    0.00362158          5.59897                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1542    4266              0.00359057    0.00359057    0.00358825          5.53307                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-09-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1518    4136              0.00359214    0.00359214    0.00358977          5.44928                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-10-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1522    4143              0.00357932    0.00357932    0.00357697          5.44415                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-11-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1520    4166              0.00360868    0.00360868    0.0036063           5.48158                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2008-12-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1519    4160              0.00360823    0.00360823    0.00360585          5.47729                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-01-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1526    4162              0.00357691    0.00357691    0.00357456          5.45478                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-02-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1514    4110              0.00358845    0.00358845    0.00358608          5.42933                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-03-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1517    4139              0.00359949    0.00359949    0.00359711          5.45682                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-04-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1519    4149              0.00359869    0.00359869    0.00359632          5.4628                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-05-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1508    4113              0.00361971    0.00361971    0.00361731          5.45491                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-06-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1496    4057              0.00362796    0.00362796    0.00362553          5.4238                      Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-07-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1496    4064              0.00363422    0.00363422    0.00363179          5.43316                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
board_directors_net1m_2009-08-01                    undirected      unweighted        unipartite  noselfloops  nomultiedges          1494    4065              0.00364485    0.00364485    0.00364241          5.44177                     Social,Affiliation,Projection,Temporal                  None                                                      http://www.boardsandgender.com/data.php
