# Name                                                Size    Rank    OptimalThreshold    OptimalShrinkage        Erank    Elbow    EnergyRatio    StableRank    NuclearRank
copenhagen_sms                                         568     502                 124                 137    117.296         25             13       3.72849       12.6925
crime                                                 1380     900                  10                  30    777.326        140            516      94.5762       254.473
cs_department                                           61      61                   8                  11     39.6428         6             20       3.73945       10.4146
dblp_cite                                            12590    3137                 168                 251   2501.01         214           1495      42.7861       290.722
dnc                                                   2029     627                 153                 176    280.153         30             53       2.27425       15.5325
dolphins                                                62      60                   3                   6     43.7684         8             26       6.14516       14.8777
drosophila                                           21733   21687                4868                5543   6702.76         724           1062      11.5811       173.483
dutch_criticism                                         35      35                   3                   3     24.9818         8             15       3.57564        8.39671
dutch_school_klas12b-net-1                              26      24                   2                   2     18.7401         3             12       3.21358        7.02575
dutch_school_klas12b-net-2                              26      25                   2                   3     17.5977         3             10       2.15182        5.32971
dutch_school_klas12b-net-3                              26      22                   2                   3     14.8212         3              8       1.63719        4.05967
dutch_school_klas12b-net-3m                             26      22                   2                   3     14.8212         3              8       1.63719        4.05967
dutch_school_klas12b-net-4                              26      24                   1                   2     17.1854         4             10       2.12185        5.24726
dutch_school_klas12b-net-4m                             26      24                   1                   2     17.1854         4             10       2.12185        5.24726
dutch_school_klas12b-primary                            26      23                   1                   2     17.3692         2             11       1.77384        4.69502
ecoli_transcription_v1_0                               424     115                   8                  12     95.7704        18             62       7.35292       23.9732
ecoli_transcription_v1_1                               423     115                   8                  12     95.6976        18             62       7.33944       23.9304
edit_wikibooks_aa                                      115      72                   4                   6     60.0191         8             40       6.25945       17.3263
edit_wikibooks_az                                     6596     772                 176                 192    248.194         40             31       6.36078       24.393
edit_wikibooks_be                                     1160     360                  58                  70    112.465         26              9       4.44846       13.4193
edit_wikibooks_bs                                     1135     362                  46                  56    112.689         22             10       5.62694       15.33
edit_wikibooks_ca                                     8052    1541                 448                 484    348.695        106             65       9.71655       39.4106
edit_wikibooks_cy                                      781     326                  62                  72    159.115         34             26       4.97356       18.6205
edit_wikibooks_da                                     4567     884                 196                 218    153.921         30             11       3.8124        12.9658
edit_wikibooks_eu                                     1197     361                  74                  80     64.595         20              9       3.38154        9.11276
edit_wikibooks_fa                                    16002    2396                 530                 598    509.6           96             32       5.72238       26.7022
edit_wikibooks_fy                                      739     288                  36                  42    102.023         18              7       3.19079       10.4193
edit_wikibooks_gl                                     3466     494                  96                 112    101.247         30             10       2.84107        9.41014
edit_wikibooks_hr                                     3771     522                 114                 124    138.092         54             23       6.37279       19.3025
edit_wikibooks_ie                                      705     258                  32                  40     96.9014        14              6       3.63794       11.123
edit_wikibooks_ka                                     5267     494                 102                 112    101.834         38             16       4.08218       12.8416
edit_wikibooks_ky                                      647     270                  38                  42     97.8978        12              6       2.84395        9.2869
edit_wikibooks_la                                     1014     377                  64                  74     93.0804        18              9       3.39908       10.2679
edit_wikibooks_my                                       98      50                   8                   8     35.0215         8             16       3.71803        9.39853
edit_wikibooks_na                                      300     100                  16                  16     44.0735         6              6       2.87254        7.48138
edit_wikibooks_no                                     4821    1273                 378                 406    318.972         66             51       4.21878       21.8972
edit_wikibooks_oc                                      875     304                  44                  52    110.759         20             10       3.52636       11.8558
edit_wikibooks_si                                     3427     429                  88                 104    144.327         52             27       6.82455       21.4785
edit_wikibooks_sr                                     3308     627                 156                 170    229.528         56             48       6.76557       27.1847
edit_wikibooks_tg                                      960     274                  40                  48    146.013         30             32       4.84672       18.4512
edit_wikibooks_tt                                     1671     342                  54                  58    148.89          24             21       5.37349       18.6696
edit_wikibooks_ur                                     1584     433                  80                  88    177.79          62             32      12.7122        34.3593
edit_wikibooks_xh                                      167      74                   6                   8     31.1764         6              2       2.20326        5.13672
edit_wikibooks_zh                                    14125    3699                 854                 950   1080.83         280            179      13.2303        76.8742
edit_wikibooks_zu                                      271     122                  12                  14     49.7333        12              5       3.74558        8.81029
edit_wikinews_bg                                      4457     603                 122                 136     20.0818        12              4       2.98259        4.68124
edit_wikinews_el                                     10982     563                 132                 144      7.63709        8              2       2.18654        2.98206
edit_wikinews_hu                                      5541     612                 134                 158     61.0309        20              4       2.78986        6.57481
edit_wikinews_no                                      4523     816                 170                 194    206.595         42             16       3.22983       13.7652
edit_wikinews_sv                                      9105     940                 174                 206     61.8169        14              3       2.33904        5.40019
edit_wikiquote_als                                     111      68                   4                   8     48.8738        10             27       4.0936        11.3989
edit_wikiquote_et                                     1822     580                 128                 140    198.705         42             21       5.98932       21.5301
edit_wikiquote_id                                     4414    1159                 196                 238    439.113        104             58      10.1591        42.0881
edit_wikiquote_ml                                     3834     811                 182                 206    184.54          52             14       4.16878       14.8674
edit_wikiquote_te                                     3795     529                 120                 138    119.189         30             12       3.12478       11.1154
edit_wikiquote_zh                                    11164    3442                 726                 808    978.713        158             76       7.46057       45.1853
edit_wikiquote_zh_min_nan                              550     208                  28                  34    109.238         28             24       5.30447       17.3326
edit_wiktionary_be                                    7426     594                 136                 156    151.309         48             22       4.46838       15.7793
edit_wiktionary_fo                                    2064     464                  98                 108    124.359         34             15       3.68539       12.9092
edit_wiktionary_mi                                    2262     398                  88                  96    124.684         44             17       3.72852       13.2432
edit_wiktionary_roa_rup                               2137     334                  70                  86    101.755         32             15       6.21293       16.6124
edit_wiktionary_st                                    2312     366                  66                  76    114.939         26             17       3.88277       13.3033
edit_wiktionary_vec                                   3366     349                  78                  92     72.5514        26              9       3.35488        9.45252
edit_wiktionary_zu                                    1624     418                  76                  86    135.438         26             14       3.34875       12.5639
ego_social_facebook_0                                  333     327                  52                  66    203.392         19             87       3.66179       21.6427
ego_social_facebook_107                               1034    1034                 115                 161    617.331         32            252       3.52378       33.8286
ego_social_facebook_1684                               786     783                  92                 127    488.486         26            221       5.74012       40.9228
ego_social_facebook_1912                               747     745                  73                 106    422.183         23            135       2.31864       19.789
ego_social_facebook_3437                               534     531                  60                  84    334.768         31            153       6.39982       36.9039
ego_social_facebook_348                                224     223                  26                  36    137.567         13             61       2.57331       14.4437
ego_social_facebook_3980                                52      51                   7                   9     36.0474         4             19       3.26645        9.42037
ego_social_facebook_414                                150     149                  15                  20     87.9496        11             37       2.68451       11.4936
ego_social_facebook_686                                168     167                  18                  23    105.281         11             50       2.76944       13.6095
ego_social_facebook_698                                 61      60                   6                   6     39.3249         6             19       2.5439         8.13358
ego_social_facebook_combined                          4039    3955                 515                 691   2304.8          109            859       6.69319       87.2093
ego_social_gplus_100129275726588145876                1650    1624                 312                 384    774.092         43            217       2.71487       28.6383
ego_social_gplus_100329698645326486178                2213    2183                 453                 533   1172.23          64            473       5.32267       60.4907
ego_social_gplus_100466178325794757407                 344     331                  44                  60    188.996         18             78       3.067         18.3254
ego_social_gplus_100500197140377336562                 638     622                 113                 138    328.483         31            128       3.91212       26.8136
ego_social_gplus_100518419853963396365                 326     326                  35                  50    189.219         13             82       2.31099       15.4064
elec                                                  7118    2382                 333                 431   1565.21          78            721       9.74848      100.756
elite                                                   44      40                   2                   4     29.1537         6             17       5.18008       11.0902
email_company                                          167     138                  36                  42     52.6266        13             18       3.88723       11.1107
escorts                                              16730    9978                1570                1894   5477.54         630           1543      48.4113       368.615
eu_airlines                                            450     326                  69                  81    168.32          21             61       2.56609       15.4278
euroroad                                              1174    1125                   2                  18    943.789        136            620     176.204        386.509
faa_routes                                            1226     858                  51                  78    727.233        129            490      63.6069       198.801
facebook_friends                                       362     342                  44                  59    214.07          26             94       6.65282       29.7265
facebook_organizations_L1                             5793    3412                 630                 747   1935.92         172            677      14.0776       124.807
facebook_organizations_L2                             5524    5524                 646                 877   3558.29         275           1732      30.8155       273.755
facebook_organizations_M1                             1429    1428                 217                 277    858.517         85            386       8.12093       67.4089
facebook_organizations_M2                             3862    3862                 353                 514   2573.79         186           1320      33.8423       247.649
facebook_organizations_S1                              320     320                  38                  52    206.384         15            102       5.36084       27.7879
facebook_organizations_S2                              165     155                  16                  21    102.491         16             54       5.19993       19.6676
fao_trade                                              214     159                  59                  62     21.5222         8              5       1.96818        4.62432
fediverse                                             4860     806                  32                  44    483.316         18            122       1.66079       16.0798
financial_institution07-Apr-1999                        31      31                   2                   2     23.4569         4             16       3.18606        7.74094
florentine_families                                     16      15                   1                   3     11.2275         6              7       3.23213        5.54144
foldoc                                               13356   12919                1747                2198   8449.52         511           4244      65.0915       636.302
foodweb_baywet                                         128      98                  41                  41      7.66041       11              5       2.7199         4.15887
foodweb_little_rock                                    183      45                   8                  11     25.8824         5             10       2.56688        6.57327
football                                               115     115                  10                  11     81.1733        13             46      10.5489        26.0158
football_tsevans                                       115     115                  10                  11     81.1733        13             46      10.5489        26.0158
foursquare_NYC_restaurant_checkin                     4936    4020                 620                 784   2091.82         184            662      17.4544       135.985
foursquare_NYC_restaurant_tips                        6410    4980                 400                 572   3804.5          406           2116      64.0224       430.537
fresh_webs_AkatoreA                                     85      35                   3                   5     24.8703         5             13       2.40669        6.62776
fresh_webs_AkatoreB                                     58      17                   1                   1     13.5865         3              9       2.45271        5.21756
fresh_webs_Berwick                                      79      32                   2                   3     22.6613         2             13       2.21937        6.09564
fresh_webs_Blackrock                                    87      33                   1                   1     25.5453         2             16       2.30476        6.67107
fresh_webs_Broad                                        95      39                   1                   2     27.7408         1             15       1.75235        5.64256
fresh_webs_Canton                                      110      43                   2                   3     30.7481         3             17       1.97373        6.41136
fresh_webs_Catlins                                      49      18                   1                   2     13.7567         4              8       2.02297        4.61404
fresh_webs_Coweeta1                                     58      20                   1                   1     16.1529         2             10       2.4765         5.70501
fresh_webs_Coweeta17                                    71      26                   2                   2     20.1803         3             12       2.37181        6.06631
fresh_webs_DempstersAu                                  86      36                   2                   2     26.1812         3             15       1.95606        5.93502
fresh_webs_DempstersSp                                  97      39                   2                   4     27.4781         4             15       1.91503        5.96413
fresh_webs_DempstersSu                                 107      45                   2                   3     32.599          3             18       1.88433        6.34914
fresh_webs_German                                       86      32                   2                   3     23.4818         4             14       2.32093        6.32266
fresh_webs_Healy                                        96      40                   2                   3     28.5505         2             16       1.96476        6.17839
fresh_webs_Kyeburn                                      98      38                   1                   3     27.0325         3             15       1.85372        5.79192
fresh_webs_LilKyeburn                                   78      27                   2                   3     20.5647         3             12       2.23016        5.85387
fresh_webs_Martins                                     105      41                   3                   4     30.9925         6             18       3.32841        8.98596
fresh_webs_Narrowdale                                   71      26                   2                   4     18.6091         4             10       2.25064        5.58901
fresh_webs_NorthCol                                     78      29                   3                   4     21.1941         6             12       2.62959        6.53366
fresh_webs_Powder                                       78      35                   2                   4     24.9236         3             13       2.22408        6.325
fresh_webs_Stony                                       113      46                   2                   3     32.3363         2             17       1.68978        5.81892
fresh_webs_SuttonAu                                     83      31                   1                   1     23.3466         1             14       1.90981        5.63693
fresh_webs_SuttonSp                                     79      24                   1                   1     18.145          1             11       1.72896        4.71345
fresh_webs_SuttonSu                                     94      17                   1                   1     12.728          1              8       1.46274        3.5719
fresh_webs_Troy                                         78      28                   1                   2     22.3206         2             14       2.87246        7.21662
fresh_webs_Venlaw                                       69      27                   1                   2     20.8026         2             12       2.3081         6.05997
freshmen_t0                                             34      11                   1                   1      1.88023        1              1       1.00189        1.13379
freshmen_t2                                             34      34                   1                   2     10.979          1              1       1.05286        2.10017
freshmen_t3                                             34      34                   1                   2     10.3972         1              1       1.04684        2.03193
freshmen_t5                                             34      34                   2                   2      8.64015        2              1       1.04324        1.88567
freshmen_t6                                             34      30                   2                   2      8.44163        2              1       1.05913        1.91823
fully_connected_layer_cnn_00100                        820     299                 124                 125      3.12143        4              2       1.21568        1.69483
fully_connected_layer_cnn_00200                        980      10                   3                   3      2.16129        3              1       1.09635        1.40278
fully_connected_layer_cnn_00300                        900     128                  12                  16     81.0735       124             39       5.01488       16.4349
fully_connected_layer_cnn_00400                       1028     256                  65                  77    126.786        129             47       9.33475       27.266
fully_connected_layer_cnn_00500                        892     380                   4                   9    336.395         51            237      20.567         78.4266
fully_connected_layer_cnn_00600                       1076     308                   8                  14    273.764        308            199      30.1669        85.0934
fully_connected_layer_cnn_00700                       1028     256                  13                  22    205.989        256            135      28.1594        69.5518
fully_connected_layer_cnn_00800                        628     116                   7                  10     92.1895       116             60      11.3583        29.451
fully_connected_layer_cnn_00900                        396     128                  40                  44      5.89532        7              2       1.22835        2.10936
fully_connected_layer_cnn_01000                        820     308                  28                  36    221.052         97            117      19.7936        56.6395
game_thrones                                           107      98                  25                  28     45.9568        22             18       4.97864       12.5883
genetic_multiplex_Arabidopsis                         6980    2509                 277                 362   1798.52         127            873      15.3362       138.735
genetic_multiplex_Bos_Multiplex_Genetic                325     119                   2                   5    105.861         15             77      13.2864        35.3137
genetic_multiplex_Candida                              367      46                   5                   7     32.9484         8             17       1.96318        6.5071
genetic_multiplex_Celegans                            3879    1078                 107                 142    792.542         73            398      12.1448        82.0158
genetic_multiplex_DanioRerio                           155      74                   5                   8     63.7961        10             46       6.42819       18.6035
genetic_multiplex_Drosophila                          8215    4877                 678                 865   3259.69         313           1538      44.9654       322.368
genetic_multiplex_Homo                               18222    8436                1492                1794   4746.91         338           1757      14.0947       199.779
genetic_multiplex_HumanHerpes4                         216      25                   1                   1     18.3065         1             10       1.76961        4.76914
genetic_multiplex_Mus                                 7747    2552                 272                 363   1838.38         176            915      18.5926       154.593
genetic_multiplex_Oryctolagus                          144      26                   2                   2     20.095          3             12       1.97436        5.35926
genetic_multiplex_Plasmodium                          1203     575                  49                  70    455.794         80            265      27.0898       100.303
genetic_multiplex_Rattus                              2640     752                  43                  67    577.555         43            312       6.08445       49.0945
genetic_multiplex_Sacchcere                           6570    5116                1010                1210   2866.05         175           1203      12.1139       149.628
genetic_multiplex_Sacchpomb                           4092    1734                 318                 384   1060.62          89            450       9.04012       80.1838
genetic_multiplex_Xenopus                              461     195                   8                  14    165.471         30            109      17.1011        48.9635
genetic_multiplex_YeastLandscape                      4458    4457                 679                 857   1394.91          54              5       1.35883       13.603
gnutella_04                                          10879    4860                  38                  89   4085.95         213           2640     168.343        779.371
gnutella_06                                           8717    3680                  14                  43   3139.07         120           2061      84.3877       482.565
gnutella_08                                           6301    2195                  31                  48   1896.92          93           1282      36.2196       245.114
gnutella_09                                           8114    2759                  33                  50   2396.1          104           1629      42.0727       297.896
google                                               15763    9655                1418                1752   5456.22         303           1110       6.48979      118.978
gut                                                    838     735                 197                 203     76.2305        35              7       2.52231        7.35711
hens                                                    32      31                   2                   3     17.5281         2              6       1.29089        3.41489
high_tech_company                                       21      21                   1                   3     12.9003         1              7       1.67744        3.9062
highschool                                              70      67                   4                   6     49.3704        12             29       6.52292       16.1005
households_04-Sep-1998                                 111     111                   9                  10     72.5183        15             36       1.97802        8.86307
households_09-Jan-2002                                 695     695                  48                  52    327.77          50             23       2.26219       15.2246
interactome_figeys                                    2239     333                  42                  55    236.221         34            113       6.81121       33.8648
interactome_pdz                                        212     110                   2                  10     94.268         26             60      14.4225        34.3574
interactome_stelzl                                    1706     941                  99                 131    713.895        113            379      20.2354       104.225
interactome_vidal                                     3133    2356                 205                 284   1743.21         240            968      52.913        267.706
interactome_yeast                                     1870    1263                  59                  98   1045.09         169            657      82.2281       267.865
jazz_collab                                            198     198                  25                  32    114.915         13             45       3.42281       15.046
jdk                                                   6434    2180                 432                 511    489.998         56             14       1.79502       12.3552
jung                                                  6120    2035                 424                 485    475.501         67             21       2.01009       13.8228
kangaroo                                                17      17                   5                   5      6.74245        3              3       1.3787         2.48553
karate_77                                               34      24                   3                   3     18.5732         6             11       3.45865        7.24758
karate_78                                               34      24                   3                   3     18.3741         6             11       3.44866        7.18189
kegg_metabolic_aae                                     926     854                  85                 111    591.104         73            290       9.09614       58.95
kegg_metabolic_afu                                     909     820                  66                  82    586.4           63            309       9.40017       60.1338
kegg_metabolic_ana                                    1362    1245                 113                 147    853.597         89            403       8.39991       65.6281
kegg_metabolic_ape                                     805     726                  62                  80    515.402         57            271       9.15901       55.8744
kegg_metabolic_atc                                    1589    1447                 119                 156    989.385         94            466       8.60409       70.9141
kegg_metabolic_ath                                    1561    1409                 108                 146    960.625         94            447       8.79348       70.6653
kegg_metabolic_atu                                    1593    1451                 119                 158    992.211         94            467       8.60065       70.9726
kegg_metabolic_bas                                     664     618                  55                  73    436.554         55            231       9.80865       54.2885
kegg_metabolic_bbu                                     505     465                  37                  51    335.496         42            183       8.33558       44.1434
kegg_metabolic_bha                                    1267    1169                 108                 141    804.352         79            386       9.00404       67.2238
kegg_metabolic_bja                                    1746    1583                 129                 171   1074.7           92            492       8.57301       73.0536
kegg_metabolic_blo                                     854     795                  89                 112    553.682         79            270       8.86774       56.659
kegg_metabolic_bme                                    1574    1426                 119                 152    977.445         88            462       8.63637       70.8356
kegg_metabolic_bms                                    1405    1286                 108                 140    887.183         83            427       9.0071        69.6889
kegg_metabolic_bsu                                    1380    1275                 109                 148    871.892         85            414       8.81044       68.5873
kegg_metabolic_buc                                     638     601                  53                  70    419.846         48            222      10.0168        53.9591
kegg_metabolic_cac                                    1081    1006                 107                 140    691.531         80            331       8.82436       62.6104
kegg_metabolic_ccr                                    1421    1297                 108                 138    896.887         92            432       8.60474       68.0883
kegg_metabolic_cef                                    1166    1092                 106                 142    744.509         79            351       8.41994       62.2684
kegg_metabolic_cel                                    1307    1187                 102                 135    815.136         87            383       8.90734       66.3301
kegg_metabolic_cgl                                    1379    1281                 117                 157    873.005         82            402       8.35409       65.6834
kegg_metabolic_cje                                     851     785                  77                 101    544.639         70            269       8.71857       55.8114
kegg_metabolic_cmu                                     650     608                  63                  79    431.562         57            226      10.2682        55.086
kegg_metabolic_cpa                                     659     618                  64                  81    436.365         55            226      10.1205        54.949
kegg_metabolic_cpe                                    1068     979                  89                 116    682.198         85            335       8.89546       62.6832
kegg_metabolic_cpj                                     660     619                  67                  82    437.844         55            227      10.0894        54.9845
kegg_metabolic_cpn                                     660     619                  64                  80    437.226         55            226      10.1095        54.9546
kegg_metabolic_cte                                    1000     908                  72                  92    630.838         75            311       8.27966       57.4596
kegg_metabolic_ctr                                     652     610                  63                  79    433.465         57            227      10.3385        55.4384
