# Name                                                Size    Rank    OptimalThreshold    OptimalShrinkage        Erank    Elbow    EnergyRatio    StableRank    NuclearRank    Density
celegans_interactomes_wi2004                          1237     702                  44                  61    556.988         80            330      24.939        104.51       0.00226956
celegans_interactomes_wi2007                          1496     906                  62                  85    732.263        108            450      35.4533       143.433      0.00162395
celegans_metabolic                                     453     450                  54                  66    161.801         25             15       2.9761        13.2019     0.0448925
celegansneural                                         297     248                  67                  74    103.349         16             35       3.06632       13.176      0.0268337
ceo_club                                                40      30                   2                   2     25.4569         4             18       4.54515        9.81327    0.121795
chess                                                 7301    6383                1021                1261   3900.25         334           1752      23.6192       252.041      0.00122057
chicago_road                                         12982   12666                   9                 332  10134           2258           6277    2183.52        4427.06       0.000231534
cintestinalis                                          222     204                  19                  28    136.784         17             71       5.1072        22.3316     0.0632873
collins_yeast                                         1622    1558                 231                 284    956.288         54            296       5.05157       49.0442     0.00689927
contact                                                274      82                  23                  26     32.2162         1             13       1.34141        4.54653    0.755167
contiguous_usa                                          49      49                   2                   3     39.2698         9             26       7.56531       16.0406     0.0909864
copenhagen_calls                                       536     420                 113                 130    118.654         38             30       6.04192       19.7404     0.0125541
copenhagen_fb_friends                                  800     799                  79                 112    537.375         60            282      12.8051        71.3707     0.0201158
copenhagen_sms                                         568     502                 124                 137    117.296         25             13       3.72849       12.6925     0.0755552
crime                                                 1380     900                  10                  30    777.326        140            516      94.5762       254.473      0.00155122
cs_department                                           61      61                   8                  11     39.6428         6             20       3.73945       10.4146     0.338798
dblp_cite                                            12590    3137                 168                 251   2501.01         214           1495      42.7861       290.722      0.000313946
dnc                                                   2029     627                 153                 176    280.153         30             53       2.27425       15.5325     0.0058739
dolphins                                                62      60                   3                   6     43.7684         8             26       6.14516       14.8777     0.0840825
dutch_criticism                                         35      35                   3                   3     24.9818         8             15       3.57564        8.39671    0.136134
dutch_school_klas12b-net-1                              26      24                   2                   2     18.7401         3             12       3.21358        7.02575    0.14
dutch_school_klas12b-net-2                              26      25                   2                   3     17.5977         3             10       2.15182        5.32971    0.221538
dutch_school_klas12b-net-3                              26      22                   2                   3     14.8212         3              8       1.63719        4.05967    0.36
dutch_school_klas12b-net-3m                             26      22                   2                   3     14.8212         3              8       1.63719        4.05967    0.36
dutch_school_klas12b-net-4                              26      24                   1                   2     17.1854         4             10       2.12185        5.24726    0.261538
dutch_school_klas12b-net-4m                             26      24                   1                   2     17.1854         4             10       2.12185        5.24726    0.261538
dutch_school_klas12b-primary                            26      23                   1                   2     17.3692         2             11       1.77384        4.69502    0.133846
ecoli_transcription_v1_0                               424     115                   8                  12     95.7704        18             62       7.35292       23.9732     0.00321714
ecoli_transcription_v1_1                               423     115                   8                  12     95.6976        18             62       7.33944       23.9304     0.00323799
edit_wikibooks_aa                                      115      72                   4                   6     60.0191         8             40       6.25945       17.3263     0.0181541
physician_trust                                        241     211                   9                  17    159.658         23             95      19.0994        50.3619     0.0189834
physics_collab_arXiv                                 14488   13536                2263                2690   7339.69         722           2296      38.8298       390.423      0.000562453
physics_collab_pierreAuger                             514     510                 110                 124    251.9           59             93       9.95291       39.4092     0.0542547
plant_pol_kato                                         772     150                  36                  40     64.2296        14             20       3.7099        11.4901     0.00405234
plant_pol_robertson                                   1884     822                  96                 134    540.061         44            265       9.79023       59.9811     0.00860589
plant_pol_vazquez_All_sites_pooled                     144      29                  10                  10      8.70027        4              4       2.86966        4.18637    0.0159285
plant_pol_vazquez_Arroyo_Goye                          144      20                   8                   8      8.21083        2              3       2.28619        3.55321    0.00417638
plant_pol_vazquez_Cerro_Lopez                          144      18                   4                   4     10.6413         4              4       3.15822        5.015      0.00437063
plant_pol_vazquez_Llao_Llao                            144      20                   8                   8      8.69798        8              6       3.02332        4.62584    0.00407925
plant_pol_vazquez_Mascardi_c                           144      16                   4                   4      9.28365        8              6       3.60968        5.32317    0.0034965
plant_pol_vazquez_Mascardi_nc                          144      16                   6                   6      7.164          4              4       2.41975        3.53163    0.00495338
plant_pol_vazquez_Quetrihue_c                          144      16                   2                   2      9.58499        2              5       2.63583        4.36047    0.00456488
plant_pol_vazquez_Quetrihue_nc                         144      14                   4                   4      4.26707        4              3       2.27268        2.83289    0.00301088
plant_pol_vazquez_Safariland                           144      18                   4                   4      4.34981        4              2       2.12452        2.6396     0.00378788
polblogs                                              1490     784                 167                 199    454.94          28            193       6.03664       41.6879     0.00860449
polbooks                                               105     105                   9                  13     74.2781        12             41       6.19435       18.7584     0.0807692
power                                                 4941    4348                  49                 148   3584.35         351           2278     235.517        860.908      0.000540303
qa_user_mathoverflow_c2a                             13840    5559                1421                1562   1005.9          186            117       3.34407       32.9383     0.00101983
qa_user_mathoverflow_c2q                             16836   11155                2221                2558   3646.83         352            356       6.73558       86.9384     0.00071847
reactome                                              6327    4654                 716                 840   1922.92         162            176       6.87363       63.5611     0.00737282
residence_hall                                         217     215                  16                  24    152.485         24             85       9.89126       34.309      0.0570063
rhesus_monkey                                           16      16                   2                   3      9.40158        4              5       1.67878        3.41084    0.4625
wikipedia_link_vls                                    9941    7171                 888                1154   4325.33         185           1586       8.04774      133.03       0.00129751
wikipedia_link_xal                                    2697    1666                  84                 110    451.599         16              4       1.73836        8.84661    0.0320006
wikipedia_link_xmf                                   15600   10214                1544                1876   5090.99         250            826       4.78988       89.7449     0.00166709
windsurfers                                             43      43                   8                  10     18.9067         5              6       1.68449        4.27092    0.372093
word_adjacency_darwin                                 7381    2698                 402                 484   1594.23         181            486      10.338         94.7133     0.000849633
word_adjacency_french                                 8325    2717                 304                 386   1819.65         197            684      16.8581       130.142      0.000350591
word_adjacency_spanish                               11586    2794                 415                 499   1634.04         170            423      10.6507        92.9351     0.000336222
yeast_transcription                                    916     123                   8                  10     97.7855        18             58      10.9365        29.6083     0.00130527
zebras                                                  27      26                   4                   5     17.3513         1              8       1.47089        3.96007    0.316239
