# Name                                                nbVertices    nbEdges    binDensity    rank    srank    nrank    elbow    energy    thrank    shrank    erank
board_directors_net1m_2004-12-01                            1194       3767   0.00528909     1194     22.9    114.9      144       434       164       182    866.5
board_directors_net1m_2005-01-01                            1198       3794   0.00529147     1198     23.1    115.7      144       434       167       185    870.1
board_directors_net1m_2005-12-01                            1310       3806   0.00443903     1310     23.3    125.6      226       544       184       202    972.4
board_directors_net1m_2006-01-01                            1316       3812   0.00440556     1316     23.4    126        227       547       186       202    977.3
board_directors_net1m_2006-12-01                            1471       4278   0.00395677     1469     40.8    177.5      273       608       219       248   1094.7
board_directors_net1m_2007-01-01                            1499       4360   0.00388332     1497     41.6    180.7      281       619       226       253   1114.4
board_directors_net1m_2007-12-01                            1521       4371   0.00378127     1517     38      176.4      202       630       230       260   1143.4
board_directors_net1m_2008-01-01                            1518       4324   0.00375542     1513     43.7    190.3      309       638       231       264   1145.5
board_directors_net1m_2008-12-01                            1519       4160   0.00360823     1515     68.1    242.2      316       673       238       268   1159.9
board_directors_net1m_2009-01-01                            1526       4162   0.00357691     1523     68.2    242.8      313       680       235       265   1166.3
board_directors_net1m_2009-12-01                            1483       4065   0.00369914     1480     34.9    169.9      252       656       220       249   1131.8
board_directors_net1m_2010-01-01                            1473       4050   0.00373572     1470     34.6    168.6      254       649       220       249   1123.7
board_directors_net1m_2010-12-01                            1444       3902   0.00374528     1442     59.9    221.6      288       649       223       248   1106.4
board_directors_net1m_2011-01-01                            1442       3927   0.00377974     1440     60.3    221.7      289       642       224       249   1103.3
budapest_connectome_all_1m                                  1015     121755   0.236133       1015      3.1     21.1       28        73       191       232    422.5
budapest_connectome_all_200k                                1015     105293   0.204207       1015      3.6     27.1       36       140       170       214    493.7
budapest_connectome_all_20k                                 1015      71604   0.13887        1015      5.3     40         40       225       139       185    577.6
budapest_connectome_female_1m                               1015     112890   0.21894        1015      3.1     21.8       31        83       190       231    430.8
budapest_connectome_female_200k                             1015      96857   0.187846       1015      3.7     27.7       34       142       168       210    494.1
budapest_connectome_female_20k                              1015      63448   0.123052       1015      5.6     41.4       46       225       148       193    574.5
budapest_connectome_male_1m                                 1015      93708   0.181738       1015      3.1     20.7       26        66       215       250    395.5
budapest_connectome_male_200k                               1015      80270   0.155677       1015      3.6     26.2       29       119       201       240    461.4
budapest_connectome_male_20k                                1015      54480   0.105659       1015      5.7     41         45       215       139       186    566.6
caida_as_20040105                                          16301      65910   0.000248041    4679     16.8    169.2      208      1169       521       671   3096.8
caida_as_20040202                                          16493      66744   0.000245365    4669     17      170.1      197      1180       521       665   3094.6
caida_as_20040301                                          16655      66680   0.000240384    4771     17.1    173.4      223      1216       543       676   3173.6
caida_as_20040405                                          16874      68670   0.000241174    4829     17      173.1      207      1220       556       690   3204.6
caida_as_20040503                                          17160      70026   0.000237807    4904     17.3    177        244      1240       569       721   3256.1
caida_as_20040607                                          17306      71094   0.000237377    4924     17.4    177.1      268      1230       580       717   3255.4
caida_as_20040705                                          17509      71658   0.000233745    4991     17.7    179.9      250      1248       584       736   3303.2
caida_as_20040802                                          17655      72140   0.000231441    5056     18.1    183.4      257      1271       592       737   3348.7
caida_as_20040906                                          17848      74344   0.000233382    5084     17.6    180.3      256      1255       594       747   3352.3
caida_as_20041004                                          18100      74994   0.000228912    5213     17.7    182.7      241      1282       594       752   3434.2
caida_as_20041101                                          18278      75118   0.000224847    5190     17.8    183.4      228      1302       596       761   3436.6
caida_as_20041206                                          18501      76530   0.000223584    5234     18      184.7      239      1287       608       772   3447.2
caida_as_20050103                                          18740      77002   0.000219262    5312     18.4    189.2      263      1329       620       787   3519.4
caida_as_20050207                                          18911      75982   0.000212462    5323     18.6    191.2      242      1351       619       785   3539.1
caida_as_20050307                                          19090      77124   0.00021163     5334     18.4    190        272      1349       623       784   3547.1
caida_as_20050404                                          19267      77860   0.000209742    5415     18.6    192        224      1356       638       799   3589.6
caida_as_20050502                                          19489      79718   0.000209883    5516     18.5    192.8      277      1376       649       818   3652.6
caida_as_20050606                                          19720      80396   0.000206738    5542     18.5    193.6      278      1387       632       800   3668.5
caida_as_20050704                                          19846      80970   0.000205579    5538     18.4    192.7      262      1382       638       802   3663.3
caida_as_20070917                                           8020      36406   0.00056601     2595     11.4     95.9      129       494       255       323   1605.8
cattle                                                        28        217   0.276786         25      2.2      4.8        6         7         5         6     14.3
celegans_2019_hermaphrodite_chemical                         453       4879   0.0238284       300     10.6     35.1       47        69        56        69    173.1
celegans_2019_hermaphrodite_chemical_corrected               454       4879   0.0237234       300     10.6     35.1       47        69        56        69    173.1
celegans_2019_hermaphrodite_chemical_synapse                 468       3701   0.0169339       271      9.8     33.1       33        71        52        61    158.7
celegans_2019_hermaphrodite_gap_junction                     468       1447   0.0131577       460      2.9      9.7       19         4       100       117    119.4
celegans_2019_hermaphrodite_gap_junction_corrected           469       1450   0.0131561       460      2.7      8.7       19         4        98       116    106.6
celegans_2019_hermaphrodite_gap_junction_synapse             466       2056   0.00951191      303      5.9     23.8       28        58        51        61    159.2
celegans_2019_male_chemical                                  575       5306   0.0160764       375      9.9     35.7       48        77        83        95    197.3
celegans_2019_male_chemical_corrected                        575       5306   0.0160764       375      9.9     35.7       48        77        83        95    197.3
celegans_2019_male_chemical_synapse                          514       3531   0.0133911       296      8.9     30         41        61        68        80    149.1
celegans_2019_male_gap_junction                              585       1755   0.0102272       536      3.1     13.7       12        21       120       146    173.4
celegans_2019_male_gap_junction_corrected                    586       1758   0.0102215       537      3.1     13.7       12        21       122       148    173.3
celegans_2019_male_gap_junction_synapse                      514       2363   0.00899853      298      5.2     18.9       33        35        69        78    120.4
celegans_interactomes_BPmaps                                 537        554   0.00383516      318     34.2     90         59       180         9        19    273.6
celegans_interactomes_Genetic                                759       1593   0.00553777      619     21       86.1       79       253        55        78    459.2
celegans_interactomes_IntegratedNetwork                     6176     178151   0.00933971     5102      2.7     49.4      108       547      1038      1205   2415.5
celegans_interactomes_Interolog                             2724      14322   0.00385887     2052      5.7     59.4       67       439       243       314   1264
celegans_interactomes_LCI                                    431        438   0.00470482      244      8.2     35.8       20       124        16        20    199
celegans_interactomes_Microarray                            2436     136930   0.0461692      2180      2.1     27.7       52       256       482       565   1021.3
celegans_interactomes_Phenotypes                             912      22738   0.0547355       912      5       35.8       46       147       197       229    474.8
celegans_interactomes_WI8                                   2528       3864   0.00120876     1523     40.6    193.1      146       675       113       156   1184.9
celegans_interactomes_wi2004                                1237       1735   0.00226589      702     24.9    104.5       80       330        44        61    557
celegans_interactomes_wi2007                                1496       1816   0.00162178      906     35.5    143.4      108       450        62        85    732.3
celegans_metabolic                                           453       4596   0.0198384       450      3       13.2       25        15        54        66    161.8
celegans_signed                                              297      20589   0.0413823       292      8.7     29.6       39        63        70        80    149.1
celegansneural                                               297       2359   0.0265846       248      3.1     13.2       16        35        67        74    103.3
ceo_club                                                      40         95   0.121795         30      4.5      9.8        4        18         2         2     25.5
chess                                                       7301      65053   0.00112647     6383     23.6    252        334      1752      1021      1261   3900.2
chicago_road                                               12982      39018   0.000231516   12666   2183.5   4427.1     2258      6277         9       332  10134
cintestinalis                                                213       3010   0.0666578       203      3.7     12.8       19        23        52        60     81.6
cintestinalis                                                222       3105   0.0632873       203      3.7     12.8       19        23        52        60     81.6
college_freshmen                                              32       3062   0.693359         31      3.3      7.7        5        15         2         3     22.9
collins_yeast                                               1622       9070   0.00689927     1558      5.1     49         54       296       231       284    956.3
contact                                                      274      28244   0.0567899        82      1.3      4.5        1        13        23        26     32.2
contiguous_usa                                                49        107   0.0909864        49      7.6     16          9        26         2         3     39.3
copenhagen_bt                                                692    2426280   0.332642        692     20.6     68.9      119       137       192       213    324.9
copenhagen_calls                                             536       3600   0.0032162       420      6       19.7       38        30       113       130    118.7
copenhagen_fb_friends                                        800       6429   0.0200655       799     12.8     71.4       60       282        79       112    537.4
copenhagen_sms                                               568      24333   0.00403876      502      3.7     12.7       25        13       124       137    117.3
crime                                                       1380       1476   0.00155122      900     94.6    254.5      140       516        10        30    777.3
cs_department                                                 61        620   0.192896         61      3.7     10.4        6        20         8        11     39.6
dblp_cite                                                  12590      49759   0.000313946    3137     42.8    290.7      214      1495       168       251   2501
dnc                                                         2029      12085   0.005069        627      2.3     15.5       30        53       153       176    280.2
dolphins                                                      62        159   0.0840825        60      6.1     14.9        8        26         3         6     43.8
drosophila                                                 21733   14149200   0.00745498    21687     11.6    173.5      724      1062      4868      5543   6702.8
dutch_criticism                                               35         81   0.134454         35      3.6      8.4        8        15         3         3     25
dutch_school_klas12b-net-1                                    26         91   0.134615         24      3.2      7          3        12         2         2     18.7
dutch_school_klas12b-net-2                                    26        144   0.221538         25      2.2      5.3        3        10         2         3     17.6
dutch_school_klas12b-net-3                                    26        234   0.36             22      1.6      4.1        3         8         2         3     14.8
dutch_school_klas12b-net-3m                                   26        234   0.36             22      1.6      4.1        3         8         2         3     14.8
dutch_school_klas12b-net-4                                    26        170   0.261538         24      2.1      5.2        4        10         1         2     17.2
dutch_school_klas12b-net-4m                                   26        170   0.261538         24      2.1      5.2        4        10         1         2     17.2
dutch_school_klas12b-primary                                  26         87   0.133846         23      1.8      4.7        2        11         1         2     17.4
ecoli_transcription_v1_0                                     424        577   0.00321714      115      7.4     24         18        62         8        12     95.8
ecoli_transcription_v1_1                                     423        578   0.00323799      115      7.3     23.9       18        62         8        12     95.7
edit_wikibooks_aa                                            115        119   0.0152555        72      6.3     17.3        8        40         4         6     60
edit_wikibooks_az                                           6596      15901   0.00040381      772      6.4     24.4       40        31       176       192    248.2
edit_wikibooks_be                                           1160       2411   0.00191604      360      4.4     13.4       26         9        58        70    112.5
edit_wikibooks_bs                                           1135       2572   0.00224848      362      5.6     15.3       22        10        46        56    112.7
edit_wikibooks_ca                                           8052      49287   0.000480327    1541      9.7     39.4      106        65       448       484    348.7
edit_wikibooks_cy                                            781       1170   0.00247874      326      5       18.6       34        26        62        72    159.1
edit_wikibooks_da                                           4567      17832   0.000696018     884      3.8     13         30        11       196       218    153.9
edit_wikibooks_eu                                           1197       4898   0.00180775      361      3.4      9.1       20         9        74        80     64.6
edit_wikibooks_fa                                          16002      59647   0.000184434    2396      5.7     26.7       96        32       530       598    509.6
edit_wikibooks_fy                                            739       1173   0.00264769      288      3.2     10.4       18         7        36        42    102
edit_wikibooks_gl                                           3466      13382   0.00101468      494      2.8      9.4       30        10        96       112    101.2
edit_wikibooks_hr                                           3771      12757   0.000848441     522      6.4     19.3       54        23       114       124    138.1
edit_wikibooks_ie                                            705       1117   0.00262331      258      3.6     11.1       14         6        32        40     96.9
edit_wikibooks_ka                                           5267      12212   0.000466181     494      4.1     12.8       38        16       102       112    101.8
edit_wikibooks_ky                                            647        905   0.00277059      270      2.8      9.3       12         6        38        42     97.9
edit_wikibooks_la                                           1014       2950   0.00239295      377      3.4     10.3       18         9        64        74     93.1
edit_wikibooks_my                                             98        123   0.0183042        50      3.7      9.4        8        16         8         8     35
edit_wikibooks_na                                            300        414   0.00624303      100      2.9      7.5        6         6        16        16     44.1
edit_wikibooks_no                                           4821      29595   0.0006209      1273      4.2     21.9       66        51       378       406    319
edit_wikibooks_oc                                            875       1684   0.00253155      304      3.5     11.9       20        10        44        52    110.8
edit_wikibooks_si                                           3427       5850   0.000560093     429      6.8     21.5       52        27        88       104    144.3
edit_wikibooks_sr                                           3308       7700   0.000666755     627      6.8     27.2       56        48       156       170    229.5
edit_wikibooks_tg                                            960       1308   0.00202685      274      4.8     18.5       30        32        40        48    146
edit_wikibooks_tt                                           1671       2861   0.00137678      342      5.4     18.7       24        21        54        58    148.9
edit_wikibooks_ur                                           1584       3164   0.00139423      433     12.7     34.4       62        32        80        88    177.8
edit_wikibooks_xh                                            167        202   0.0102446        74      2.2      5.1        6         2         6         8     31.2
edit_wikibooks_zh                                          14125      53881   0.000251998    3699     13.2     76.9      280       179       854       950   1080.8
edit_wikibooks_zu                                            271        356   0.0064234       122      3.7      8.8       12         5        12        14     49.7
edit_wikinews_bg                                            4457      13336   0.000598377     603      3        4.7       12         4       122       136     20.1
edit_wikinews_el                                           10982      59782   0.000338908     563      2.2      3          8         2       132       144      7.6
edit_wikinews_hu                                            5541      27265   0.000687035     612      2.8      6.6       20         4       134       158     61
edit_wikinews_no                                            4523      16900   0.000869408     816      3.2     13.8       42        16       170       194    206.6
edit_wikinews_sv                                            9105      34241   0.000388096     940      2.3      5.4       14         3       174       206     61.8
edit_wikiquote_als                                           111        124   0.0150696        68      4.1     11.4       10        27         4         8     48.9
edit_wikiquote_et                                           1822       7681   0.00269692      580      6       21.5       42        21       128       140    198.7
edit_wikiquote_id                                           4414      11668   0.000782895    1159     10.2     42.1      104        58       196       238    439.1
edit_wikiquote_ml                                           3834      12574   0.000792884     811      4.2     14.9       52        14       182       206    184.5
edit_wikiquote_te                                           3795      11174   0.00069203      529      3.1     11.1       30        12       120       138    119.2
edit_wikiquote_zh                                          11164      41991   0.00035226     3442      7.5     45.2      158        76       726       808    978.7
edit_wikiquote_zh_min_nan                                    550        938   0.00410664      208      5.3     17.3       28        24        28        34    109.2
edit_wiktionary_be                                          7426      41935   0.000901265     594      4.5     15.8       48        22       136       156    151.3
edit_wiktionary_fo                                          2064      13575   0.00308593      464      3.7     12.9       34        15        98       108    124.4
edit_wiktionary_mi                                          2262       8909   0.00196661      398      3.7     13.2       44        17        88        96    124.7
edit_wiktionary_roa_rup                                     2137       8738   0.00236865      334      6.2     16.6       32        15        70        86    101.8
edit_wiktionary_st                                          2312      10000   0.00221934      366      3.9     13.3       26        17        66        76    114.9
edit_wiktionary_vec                                         3366      20858   0.00194127      349      3.4      9.5       26         9        78        92     72.6
edit_wiktionary_zu                                          1624       7532   0.00316798      418      3.3     12.6       26        14        76        86    135.4
ego_social_facebook_0                                        333       2519   0.0455697       327      3.7     21.6       19        87        52        66    203.4
ego_social_facebook_107                                     1034      26749   0.050086       1034      3.5     33.8       32       252       115       161    617.3
ego_social_facebook_1684                                     786      14024   0.0454579       783      5.7     40.9       26       221        92       127    488.5
ego_social_facebook_1912                                     747      30025   0.107759        745      2.3     19.8       23       135        73       106    422.2
ego_social_facebook_3437                                     534       4813   0.0338203       531      6.4     36.9       31       153        60        84    334.8
ego_social_facebook_348                                      224       3192   0.127803        223      2.6     14.4       13        61        26        36    137.6
ego_social_facebook_3980                                      52        146   0.110106         51      3.3      9.4        4        19         7         9     36
ego_social_facebook_414                                      150       1693   0.151499        149      2.7     11.5       11        37        15        20     87.9
ego_social_facebook_686                                      168       1656   0.11805         167      2.8     13.6       11        50        18        23    105.3
ego_social_facebook_698                                       61        270   0.147541         60      2.5      8.1        6        19         6         6     39.3
ego_social_facebook_combined                                4039      88234   0.01082        3955      6.7     87.2      109       859       515       691   2304.8
ego_social_gplus_100129275726588145876                      1650     151766   0.111558       1624      2.7     28.6       43       217       312       384    774.1
ego_social_gplus_100329698645326486178                      2213      79586   0.0325162      2183      5.3     60.5       64       473       453       533   1172.2
ego_social_gplus_100466178325794757407                       344       3362   0.0569869       331      3.1     18.3       18        78        44        60    189
ego_social_gplus_100500197140377336562                       638      14162   0.0696939       622      3.9     26.8       31       128       113       138    328.5
ego_social_gplus_100518419853963396365                       326       8180   0.154412        326      2.3     15.4       13        82        35        50    189.2
elec                                                        7118     103675   0.00204653     2382      9.7    100.8       78       721       333       431   1565.2
elite                                                         44         99   0.104651         40      5.2     11.1        6        17         2         4     29.2
email_company                                                167      82927   0.208643        138      3.9     11.1       13        18        36        42     52.6
escorts                                                    16730      50632   0.000279009    9978     48.4    368.6      630      1543      1570      1894   5477.5
eu_airlines                                                  450       3588   0.0292304       326      2.6     15.4       21        61        69        81    168.3
euroroad                                                    1174       1417   0.00205794     1125    176.2    386.5      136       620         2        18    943.8
faa_routes                                                  1226       2615   0.00174119      858     63.6    198.8      129       490        51        78    727.2
facebook_friends                                             362       1988   0.030425        342      6.7     29.7       26        94        44        59    214.1
facebook_organizations_L1                                   5793      45266   0.0018331      3412     14.1    124.8      172       677       630       747   1935.9
facebook_organizations_L2                                   5524      94219   0.00617423     5524     30.8    273.8      275      1732       646       877   3558.3
facebook_organizations_M1                                   1429      32876   0.0189718      1428      8.1     67.4       85       386       217       277    858.5
facebook_organizations_M2                                   3862      87324   0.0117126      3862     33.8    247.6      186      1320       353       514   2573.8
facebook_organizations_S1                                    320       2369   0.0464146       320      5.4     27.8       15       102        38        52    206.4
facebook_organizations_S2                                    165        726   0.0536585       155      5.2     19.7       16        54        16        21    102.5
fao_trade                                                    214     318346   0.301347        159      2        4.6        8         5        59        62     21.5
fediverse                                                   4860     484164   0.0205026       806      1.7     16.1       18       122        32        44    483.3
financial_institution07-Apr-1999                              31        930   1                31      3.2      7.7        4        16         2         2     23.5
florentine_families                                           16         35   0.225            15      3.2      5.5        6         7         1         3     11.2
foldoc                                                     13356     120238   0.000674045   12919     65.1    636.3      511      4244      1747      2198   8449.5
foodweb_baywet                                               128       2106   0.12854          98      2.7      4.2       11         5        41        41      7.7
foodweb_little_rock                                          183       2494   0.0748814        45      2.6      6.6        5        10         8        11     25.9
football                                                     115        613   0.0935164       115     10.5     26         13        46        10        11     81.2
football_tsevans                                             115        613   0.0935164       115     10.5     26         13        46        10        11     81.2
foursquare_NYC_restaurant_checkin                           4936      27149   0.00110611     4020     17.5    136        184       662       620       784   2091.8
foursquare_NYC_restaurant_tips                              6410      10377   0.00046113     4980     64      430.5      406      2116       400       572   3804.5
fresh_webs_AkatoreA                                           85        227   0.0314187        35      2.4      6.6        5        13         3         5     24.9
fresh_webs_AkatoreB                                           58        117   0.03478          17      2.5      5.2        3         9         1         1     13.6
fresh_webs_Berwick                                            79        240   0.0384554        32      2.2      6.1        2        13         2         3     22.7
fresh_webs_Blackrock                                          87        375   0.0495442        33      2.3      6.7        2        16         1         1     25.5
fresh_webs_Broad                                              95        565   0.0632699        39      1.8      5.6        1        15         1         2     27.7
fresh_webs_Canton                                            110        718   0.0598832        43      2        6.4        3        17         2         3     30.7
fresh_webs_Catlins                                            49        110   0.0458142        18      2        4.6        4         8         1         2     13.8
fresh_webs_Coweeta1                                           58        126   0.0374554        20      2.5      5.7        2        10         1         1     16.2
fresh_webs_Coweeta17                                          71        148   0.0293593        26      2.4      6.1        3        12         2         2     20.2
fresh_webs_DempstersAu                                        86        415   0.0567715        36      2        5.9        3        15         2         2     26.2
fresh_webs_DempstersSp                                        97        538   0.0571793        39      1.9      6          4        15         2         4     27.5
fresh_webs_DempstersSu                                       107        966   0.0851702        45      1.9      6.3        3        18         2         3     32.6
fresh_webs_German                                             86        353   0.04829          32      2.3      6.3        4        14         2         3     23.5
fresh_webs_Healy                                              96        634   0.0687934        40      2        6.2        2        16         2         3     28.6
fresh_webs_Kyeburn                                            98        629   0.0654935        38      1.9      5.8        3        15         1         3     27
fresh_webs_LilKyeburn                                         78        375   0.0616371        27      2.2      5.9        3        12         2         3     20.6
fresh_webs_Martins                                           105        343   0.0311111        41      3.3      9          6        18         3         4     31
fresh_webs_Narrowdale                                         71        155   0.0311871        26      2.3      5.6        4        10         2         4     18.6
fresh_webs_NorthCol                                           78        241   0.0396121        29      2.6      6.5        6        12         3         4     21.2
fresh_webs_Powder                                             78        268   0.04405          35      2.2      6.3        3        13         2         4     24.9
fresh_webs_Stony                                             113        832   0.0657396        46      1.7      5.8        2        17         2         3     32.3
fresh_webs_SuttonAu                                           83        335   0.0486282        31      1.9      5.6        1        14         1         1     23.3
fresh_webs_SuttonSp                                           79        391   0.0626502        24      1.7      4.7        1        11         1         1     18.1
fresh_webs_SuttonSu                                           94        424   0.0479855        17      1.5      3.6        1         8         1         1     12.7
fresh_webs_Troy                                               78        181   0.0297502        28      2.9      7.2        2        14         1         2     22.3
fresh_webs_Venlaw                                             69        187   0.0392775        27      2.3      6.1        2        12         1         2     20.8
freshmen_t0                                                   34       1156   1.0303           11      1        1.1        1         1         1         1      1.9
freshmen_t2                                                   34       1156   1.0303           34      1.1      2.1        1         1         1         2     11
freshmen_t3                                                   34       1156   1.0303           34      1        2          1         1         1         2     10.4
freshmen_t5                                                   34       1156   1.0303           34      1        1.9        2         1         2         2      8.6
freshmen_t6                                                   34       1156   1.0303           30      1.1      1.9        2         1         2         2      8.4
fully_connected_layer_cnn_00100                              820     118656   0.176466        299      1.2      1.7        4         2       124       125      3.1
fully_connected_layer_cnn_00200                              980     107776   0.11222          10      1.1      1.4        3         1         3         3      2.2
fully_connected_layer_cnn_00300                              900      52032   0.064237        128      5       16.4      124        39        12        16     81.1
fully_connected_layer_cnn_00400                             1028     109376   0.103499        256      9.3     27.3      129        47        65        77    126.8
fully_connected_layer_cnn_00500                              892     122976   0.154558        380     20.6     78.4       51       237         4         9    336.4
fully_connected_layer_cnn_00600                             1076     167808   0.14494         308     30.2     85.1      308       199         8        14    273.8
fully_connected_layer_cnn_00700                             1028     109376   0.103499        256     28.2     69.6      256       135        13        22    206
fully_connected_layer_cnn_00800                              628      35456   0.0899022       116     11.4     29.5      116        60         7        10     92.2
fully_connected_layer_cnn_00900                              396      19232   0.122641        128      1.2      2.1        7         2        40        44      5.9
fully_connected_layer_cnn_01000                              820     118656   0.176466        308     19.8     56.6       97       117        28        36    221.1
game_thrones                                                 107        352   0.0620702        98      5       12.6       22        18        25        28     46
genetic_multiplex_Arabidopsis                               6980      18655   0.000369488    2509     15.3    138.7      127       873       277       362   1798.5
genetic_multiplex_Bos_Multiplex_Genetic                      325        322   0.00295347      119     13.3     35.3       15        77         2         5    105.9
genetic_multiplex_Candida                                    367        398   0.00282158       46      2        6.5        8        17         5         7     32.9
genetic_multiplex_Celegans                                  3879       8182   0.000536737    1078     12.1     82         73       398       107       142    792.5
genetic_multiplex_DanioRerio                                 155        188   0.00745706       74      6.4     18.6       10        46         5         8     63.8
genetic_multiplex_Drosophila                                8215      43367   0.000623077    4877     45      322.4      313      1538       678       865   3259.7
genetic_multiplex_Homo                                     18222     170899   0.000467157    8436     14.1    199.8      338      1757      1492      1794   4746.9
genetic_multiplex_HumanHerpes4                               216        259   0.00503687       25      1.8      4.8        1        10         1         1     18.3
genetic_multiplex_Mus                                       7747      19843   0.00031419     2552     18.6    154.6      176       915       272       363   1838.4
genetic_multiplex_Oryctolagus                                144        144   0.00675019       26      2        5.4        3        12         2         2     20.1
genetic_multiplex_Plasmodium                                1203       2522   0.00174342      575     27.1    100.3       80       265        49        70    455.8
genetic_multiplex_Rattus                                    2640       4268   0.000582894     752      6.1     49.1       43       312        43        67    577.6
genetic_multiplex_Sacchcere                                 6570     282755   0.00603066     5116     12.1    149.6      175      1203      1010      1210   2866
genetic_multiplex_Sacchpomb                                 4092      63677   0.00368313     1734      9       80.2       89       450       318       384   1060.6
genetic_multiplex_Xenopus                                    461        620   0.00275394      195     17.1     49         30       109         8        14    165.5
genetic_multiplex_YeastLandscape                            4458    8474000   0.422617       4457      1.4     13.6       54         5       679       857   1394.9
gnutella_04                                                10879      39994   0.000337922    4860    168.3    779.4      213      2640        38        89   4086
gnutella_06                                                 8717      31525   0.000414879    3680     84.4    482.6      120      2061        14        43   3139.1
gnutella_08                                                 6301      20777   0.000523316    2195     36.2    245.1       93      1282        31        48   1896.9
gnutella_09                                                 8114      26013   0.000395112    2759     42.1    297.9      104      1629        33        50   2396.1
google                                                     15763     171206   0.000689079    9655      6.5    119        303      1110      1418      1752   5456.2
gut                                                          838     281454   0.400792        735      2.5      7.4       35         7       197       203     76.2
hens                                                          32        496   0.484375         31      1.3      3.4        2         6         2         3     17.5
high_school_proximity                                        327      11636   0.109154        327      6.8     30.1       16       104        16        28    209.5
high_tech_company                                             21        312   0.526077         21      1.7      3.9        1         7         1         3     12.9
highschool                                                    70        366   0.0746939        67      6.5     16.1       12        29         4         6     49.4
households_04-Sep-1998                                       111      12158   0.995741        111      2        8.9       15        36         9        10     72.5
households_09-Jan-2002                                       695     478364   0.991777        695      2.3     15.2       50        23        48        52    327.8
interactome_figeys                                          2239       6452   0.00128702      333      6.8     33.9       34       113        42        55    236.2
interactome_pdz                                              212        244   0.010807        110     14.4     34.4       26        60         2        10     94.3
interactome_stelzl                                          1706       6207   0.00213392      941     20.2    104.2      113       379        99       131    713.9
interactome_vidal                                           3133       6726   0.00137002     2356     52.9    267.7      240       968       205       284   1743.2
interactome_yeast                                           1870       2277   0.0013016      1263     82.2    267.9      169       657        59        98   1045.1
jazz_collab                                                  198       2742   0.140594        198      3.4     15         13        45        25        32    114.9
jdk                                                         6434     150985   0.00130185     2180      1.8     12.4       56        14       432       511    490
jung                                                        6120     138706   0.00134924     2035      2       13.8       67        21       424       485    475.5
kangaroo                                                      17         91   0.669118         17      1.4      2.5        3         3         5         5      6.7
